YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1952,999.90,999.90,999.90,999.90,999.90,-0.90,4.10,0.80,-7.40,-20.00,-24.90,-25.40,999.90,999.90,1.33,-17.43,999.90
1953,-28.10,-30.40,-33.90,-20.90,-9.30,2.30,6.10,2.20,-7.90,-18.20,-20.60,-27.30,-27.97,-21.37,3.53,-15.57,-15.34
1954,-31.20,-28.10,-34.20,-23.80,-9.60,-0.50,2.50,0.90,-7.40,-17.70,-25.00,-26.20,-28.87,-22.53,0.97,-16.70,-16.78
1955,-28.40,-31.60,-28.70,-24.50,-14.20,0.10,2.00,1.90,-5.60,-16.10,-27.10,-28.30,-28.73,-22.47,1.33,-16.27,-16.53
1956,-30.70,-28.50,-33.00,-23.10,-15.90,-2.20,6.10,2.30,-10.70,-20.30,-24.00,-20.60,-29.17,-24.00,2.07,-18.33,-17.36
1957,-31.40,-30.60,-28.60,-27.80,-10.30,-1.20,4.70,0.90,-9.60,-15.60,-22.10,-31.70,-27.53,-22.23,1.47,-15.77,-16.02
1958,-24.50,-30.70,-25.80,-24.00,-10.10,-0.40,3.40,2.00,-8.90,-20.10,-24.70,-26.40,-28.97,-19.97,1.67,-17.90,-16.29
1959,-31.60,-31.70,-31.70,-22.80,-11.50,-1.20,1.40,-0.70,-10.40,-18.10,-20.20,-26.50,-29.90,-22.00,-0.17,-16.23,-17.07
1960,-23.70,-31.50,-32.10,-25.20,-8.90,0.00,4.70,1.80,-7.80,-20.00,-26.90,-31.60,-27.23,-22.07,2.17,-18.23,-16.34
1961,-28.90,-32.70,-32.40,-22.30,-15.80,-2.00,3.50,2.40,-8.90,-17.10,-23.40,-28.00,-31.07,-23.50,1.30,-16.47,-17.43
1962,-29.70,-28.70,-26.90,-23.20,-10.00,-1.30,3.70,2.40,-7.30,-18.60,-22.50,-27.90,-28.80,-20.03,1.60,-16.13,-15.84
1963,-30.60,-30.80,-30.40,-22.60,-11.00,-1.50,2.20,3.30,-11.10,-19.40,-26.10,-29.30,-29.77,-21.33,1.33,-18.87,-17.16
1964,-30.50,-30.90,-28.30,-23.30,-13.90,-1.50,2.10,2.50,-10.70,-21.70,-27.50,-25.70,-30.23,-21.83,1.03,-19.97,-17.75
1965,-30.80,-27.30,-29.60,-23.20,-9.60,-1.20,2.50,0.90,-8.60,-18.70,-19.80,-28.00,-27.93,-20.80,0.73,-15.70,-15.93
1966,-32.50,-28.30,-35.30,-25.20,-9.40,0.00,3.90,1.80,-8.30,-23.70,-25.70,-29.20,-29.60,-23.30,1.90,-19.23,-17.56
1967,-31.50,-34.70,-30.70,-18.60,-5.10,-1.40,4.10,2.50,-6.80,-19.40,-26.60,-25.70,-31.80,-18.13,1.73,-17.60,-16.45
1968,-31.00,-33.50,-31.80,-24.40,-8.50,-0.90,1.70,1.20,-9.90,-20.40,-27.30,-30.00,-30.07,-21.57,0.67,-19.20,-17.54
1969,-28.70,-31.40,-34.20,-26.10,-9.10,-1.20,6.40,2.80,-8.80,-17.60,-24.20,-26.80,-30.03,-23.13,2.67,-16.87,-16.84
1970,-32.10,-32.70,-30.80,-25.50,-10.10,-2.00,1.80,-1.00,-8.20,-16.50,-25.40,-29.20,-30.53,-22.13,-0.40,-16.70,-17.44
1971,-35.30,-26.80,-30.00,-20.70,-11.10,1.40,2.30,1.20,-8.10,-20.70,-29.10,-30.20,-30.43,-20.60,1.63,-19.30,-17.17
1972,-24.70,-33.60,-25.80,-26.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-29.50,-20.74,999.90,999.90,999.90
1973,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1974,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1975,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1976,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1977,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1978,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1979,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1981,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1982,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1983,999.90,999.90,999.90,999.90,999.90,999.90,2.50,0.30,-9.50,-20.60,-26.40,-30.00,999.90,999.90,0.42,-18.83,999.90
1984,-27.00,-26.30,-30.70,-23.80,-10.20,-0.30,3.20,1.60,-8.50,-19.90,-24.20,-21.80,-27.77,-21.57,1.50,-17.53,-16.34
1985,-27.90,-30.40,-30.30,-24.80,-12.40,0.80,4.90,2.10,-7.50,-21.60,-26.30,-26.00,-26.70,-22.50,2.60,-18.47,-16.27
1986,-33.70,-26.30,-31.80,-23.70,-8.50,-0.50,2.80,4.10,-7.60,-20.90,-26.00,-22.60,-28.67,-21.33,2.13,-18.17,-16.51
1987,-27.50,-31.80,-29.80,-21.60,-9.60,0.40,2.50,999.90,999.90,999.90,999.90,999.90,-27.30,-20.33,1.50,999.90,-15.57
1988,-32.20,-27.80,-30.90,-20.30,-7.70,0.70,999.90,4.40,-6.40,-17.50,-24.50,-26.60,-29.16,-19.63,3.48,-16.13,-15.36
1989,-33.00,-31.20,-33.00,-22.60,-9.90,2.00,5.10,999.90,-7.40,-20.50,-25.40,-29.60,-30.27,-21.83,3.60,-17.77,-16.57
1990,-24.70,-31.50,-31.80,-19.70,-7.80,1.20,4.00,3.40,-5.10,-20.90,-20.90,-28.20,-28.60,-19.77,2.87,-15.63,-15.28
1991,-30.40,-33.30,-29.10,-23.20,-10.00,1.50,4.50,2.90,-6.50,-19.20,-23.90,-28.00,-30.63,-20.77,2.97,-16.53,-16.24
1992,-31.70,-29.70,-29.20,-21.70,-12.20,-1.80,2.20,-0.20,-8.00,-19.50,-23.60,-28.70,-29.80,-21.03,0.07,-17.03,-16.95
1993,-34.70,-28.50,-34.50,-21.60,-10.40,-0.60,5.40,2.80,-8.70,-18.50,-22.80,-30.30,-30.63,-22.17,2.53,-16.67,-16.73
1994,-30.90,-27.90,-32.00,-23.60,-10.20,0.00,3.20,1.50,-8.80,-17.40,-23.90,-30.20,-29.70,-21.93,1.57,-16.70,-16.69
1995,-33.70,-29.80,-31.90,-14.60,-8.70,-0.20,999.90,2.60,-5.00,-19.10,-23.30,-31.10,-31.23,-18.40,2.13,-15.80,-15.83
1996,-29.00,-26.90,999.90,-16.90,-8.60,0.50,3.80,1.20,-8.20,-19.20,-20.70,-28.70,-29.00,-17.42,1.83,-16.03,-15.16
1997,-32.80,-31.20,-25.20,-20.00,-8.30,0.10,3.00,1.40,999.90,-19.40,-24.40,-25.30,-30.90,-17.83,1.50,-17.45,-16.17
1998,-26.40,-29.90,-25.70,-20.10,-10.60,1.50,5.60,3.70,-6.70,-16.60,-17.10,-28.60,-27.20,-18.80,3.60,-13.47,-13.97
1999,-30.00,-33.00,-27.90,-22.40,-8.50,-0.70,2.20,0.50,-8.70,-19.90,-19.30,-29.30,-30.53,-19.60,0.67,-15.97,-16.36
2000,-28.00,-29.90,-28.20,-22.10,-11.10,0.20,3.10,2.10,-9.10,-19.70,-26.20,-27.10,-29.07,-20.47,1.80,-18.33,-16.52
2001,-28.00,-31.10,-32.50,-23.30,-11.20,0.70,4.30,4.10,-6.80,-16.20,-23.20,-22.50,-28.73,-22.33,3.03,-15.40,-15.86
2002,-28.00,-31.60,-29.00,-25.30,-7.90,1.90,5.80,3.60,-6.00,-10.70,-21.90,-20.90,-27.37,-20.73,3.77,-12.87,-14.30
2003,-27.30,-32.80,-31.80,-21.90,-8.00,1.20,8.00,999.90,999.90,999.90,999.90,999.90,-27.00,-20.57,4.65,999.90,-14.50
2004,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2005,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-18.10,-23.50,-21.70,999.90,999.90,999.90,-16.35,999.90
2006,-21.00,-32.60,-28.90,-15.20,-7.30,0.00,3.10,1.00,-6.70,-16.80,-22.60,-29.40,-25.10,-17.13,1.37,-15.37,-14.06
2007,-29.70,-25.10,999.90,999.90,999.90,999.90,999.90,1.80,-7.40,-17.40,-22.20,-25.60,-28.07,999.90,999.90,-15.67,999.90
2008,-32.30,-24.30,-32.20,-22.00,-8.70,2.40,4.50,4.50,-4.40,-17.70,-21.70,-25.70,-27.40,-20.97,3.80,-14.60,-14.79
2009,-25.40,999.90,999.90,-24.30,-5.50,-0.40,4.60,3.20,-6.80,-15.10,-23.70,-23.50,-26.18,-19.57,2.47,-15.20,-14.62
2010,-28.70,-28.50,-28.50,-17.80,-5.70,0.50,5.70,3.40,-6.50,-16.50,-23.70,-23.60,-26.90,-17.33,3.20,-15.57,-14.15
2011,-26.20,-20.90,-24.60,-22.40,-7.10,2.30,4.40,2.70,-7.10,-17.60,-21.20,-27.40,-23.57,-18.03,3.13,-15.30,-13.44
2012,-24.40,-28.40,-30.10,-22.30,-9.90,2.10,999.90,999.90,999.90,-16.50,-20.40,-22.50,-26.73,-20.77,999.90,-14.00,-14.50
2013,-23.20,-34.00,-26.40,-20.80,-9.30,1.30,4.30,1.10,-4.20,-18.10,-24.40,-25.10,-26.57,-18.83,2.23,-15.57,-14.68
2014,-26.30,999.90,999.90,-20.50,-7.40,0.40,4.20,3.30,-6.70,-16.80,-24.40,999.90,-26.33,-18.62,2.63,-15.97,-14.57
2015,-24.30,-29.10,-28.10,-20.20,-13.90,0.60,3.50,3.20,-6.90,-15.00,-23.60,-27.40,-25.86,-20.73,2.43,-15.17,-14.83
2016,-25.90,-26.70,-27.00,-23.50,-9.90,0.40,5.90,3.10,-4.90,-14.60,-16.80,-23.60,-26.67,-20.13,3.13,-12.10,-13.94
2017,-27.40,-26.40,-29.50,-23.50,-11.89,0.80,4.90,2.50,-5.70,-16.80,999.90,999.90,-25.80,-21.63,2.73,-14.80,-14.87
